npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3001
 HTTP  3/15/2026 4:41:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:35 PM 127.0.0.1 GET /test/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:36 PM 127.0.0.1 GET /testing/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:36 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:36 PM 127.0.0.1 GET /demo/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:36 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 GET /cms/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 GET /crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 GET /admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 GET /backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:37 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:38 PM 127.0.0.1 GET /blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:38 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:39 PM 127.0.0.1 GET /workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:39 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:41 PM 127.0.0.1 GET /panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:41 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:42 PM 127.0.0.1 GET /public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:42 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:42 PM 127.0.0.1 GET /apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:42 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:42 PM 127.0.0.1 GET /app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:42 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:43 PM 127.0.0.1 GET /index.php?s=/index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello
 HTTP  3/15/2026 4:41:43 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:44 PM 127.0.0.1 GET /public/index.php?s=/index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello
 HTTP  3/15/2026 4:41:44 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:45 PM 127.0.0.1 GET /index.php?lang=../../../../../../../../usr/local/lib/php/pearcmd&+config-create+/&/<?echo(md5("hi"));?>+/tmp/index1.php
 HTTP  3/15/2026 4:41:45 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:45 PM 127.0.0.1 GET /index.php?lang=../../../../../../../../tmp/index1
 HTTP  3/15/2026 4:41:45 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:46 PM 127.0.0.1 GET /containers/json
 HTTP  3/15/2026 4:41:46 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 5:05:53 PM 127.0.0.1 GET /
 HTTP  3/15/2026 5:05:53 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 5:35:35 PM 127.0.0.1 GET /
 HTTP  3/15/2026 5:35:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 5:36:36 PM 127.0.0.1 GET /
 HTTP  3/15/2026 5:36:36 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 5:43:42 PM 127.0.0.1 GET /
 HTTP  3/15/2026 5:43:42 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 5:48:12 PM 127.0.0.1 GET /webui/
 HTTP  3/15/2026 5:48:12 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 5:48:57 PM 127.0.0.1 GET /.streamlit/secrets.toml
 HTTP  3/15/2026 5:48:57 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 5:51:18 PM 127.0.0.1 GET /
 HTTP  3/15/2026 5:51:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 5:55:20 PM 127.0.0.1 GET /favicon.ico
 HTTP  3/15/2026 5:55:20 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 6:06:40 PM 127.0.0.1 GET /geoserver/web/
 HTTP  3/15/2026 6:06:40 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:11:14 PM 127.0.0.1 GET /.git/config
 HTTP  3/15/2026 6:11:14 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:12:19 PM 127.0.0.1 GET /
 HTTP  3/15/2026 6:12:19 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 GET /nmaplowercheck1773569543
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 POST /sdk
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 GET /NmapUpperCheck1773569543
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 GET /Nmap/folder/check1773569543
 HTTP  3/15/2026 6:12:23 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:12:43 PM 127.0.0.1 GET /
 HTTP  3/15/2026 6:12:43 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 6:12:43 PM 127.0.0.1 GET /
 HTTP  3/15/2026 6:12:43 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:30:03 PM 127.0.0.1 GET /
 HTTP  3/15/2026 6:30:03 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:41:27 PM 127.0.0.1 GET /
 HTTP  3/15/2026 6:41:27 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 6:59:11 PM 127.0.0.1 GET /
 HTTP  3/15/2026 6:59:11 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 6:59:11 PM 127.0.0.1 GET /
 HTTP  3/15/2026 6:59:11 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 7:13:21 PM 127.0.0.1 GET /Dr0v
 HTTP  3/15/2026 7:13:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 7:15:13 PM 127.0.0.1 POST /xhr/front/trade/priority/rushPurchase
 HTTP  3/15/2026 7:15:13 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 7:36:08 PM 127.0.0.1 GET /robots.txt
 HTTP  3/15/2026 7:36:08 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 7:47:08 PM 127.0.0.1 GET /robots.txt
 HTTP  3/15/2026 7:47:08 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 8:14:30 PM 127.0.0.1 GET /
 HTTP  3/15/2026 8:14:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 8:28:37 PM 127.0.0.1 GET /
 HTTP  3/15/2026 8:28:37 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 8:32:31 PM 127.0.0.1 GET /
 HTTP  3/15/2026 8:32:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 8:52:07 PM 127.0.0.1 GET /.env
 HTTP  3/15/2026 8:52:07 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 8:52:10 PM 127.0.0.1 POST /
 HTTP  3/15/2026 8:52:10 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 8:52:21 PM 127.0.0.1 POST /core/.env
 HTTP  3/15/2026 8:52:21 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 8:52:23 PM 127.0.0.1 GET /core/.env
 HTTP  3/15/2026 8:52:23 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 8:52:24 PM 127.0.0.1 POST /
 HTTP  3/15/2026 8:52:24 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 8:52:28 PM 127.0.0.1 POST /core/.env
 HTTP  3/15/2026 8:52:28 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:02:21 PM 127.0.0.1 GET /
 HTTP  3/15/2026 9:02:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:02:32 PM 127.0.0.1 GET /favicon.ico
 HTTP  3/15/2026 9:02:32 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:08:49 PM 127.0.0.1 GET /security.txt
 HTTP  3/15/2026 9:08:49 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:29:39 PM 127.0.0.1 GET /developmentserver/metadatauploader
 HTTP  3/15/2026 9:29:39 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:32:14 PM 127.0.0.1 GET /
 HTTP  3/15/2026 9:32:14 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:32:14 PM 127.0.0.1 GET /favicon.ico
 HTTP  3/15/2026 9:32:14 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:41:04 PM 127.0.0.1 GET /
 HTTP  3/15/2026 9:41:04 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:41:05 PM 127.0.0.1 GET /favicon.ico
 HTTP  3/15/2026 9:41:05 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:41:16 PM 127.0.0.1 GET /.well-known/security.txt
 HTTP  3/15/2026 9:41:16 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:41:16 PM 127.0.0.1 GET /cmukttxir6qxd
 HTTP  3/15/2026 9:41:16 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:43:57 PM 127.0.0.1 POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input
 HTTP  3/15/2026 9:43:57 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:44:02 PM 127.0.0.1 POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input
 HTTP  3/15/2026 9:44:02 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:03 PM 127.0.0.1 GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:03 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:04 PM 127.0.0.1 GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:04 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:06 PM 127.0.0.1 GET /vendor/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:06 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:07 PM 127.0.0.1 GET /vendor/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:07 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:13 PM 127.0.0.1 GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php
 HTTP  3/15/2026 9:44:13 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:14 PM 127.0.0.1 GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:14 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:14 PM 127.0.0.1 GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:14 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:44:15 PM 127.0.0.1 GET /phpunit/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:15 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:18 PM 127.0.0.1 GET /phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:18 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:44:21 PM 127.0.0.1 GET /phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:21 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:44:24 PM 127.0.0.1 GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:24 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:28 PM 127.0.0.1 GET /lib/phpunit/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:28 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:44:29 PM 127.0.0.1 GET /lib/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:30 PM 127.0.0.1 GET /lib/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:31 PM 127.0.0.1 GET /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:34 PM 127.0.0.1 GET /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:34 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:44:35 PM 127.0.0.1 GET /www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:40 PM 127.0.0.1 GET /ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:40 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:42 PM 127.0.0.1 GET /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:42 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:44:48 PM 127.0.0.1 GET /zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:44:59 PM 127.0.0.1 GET /ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:44:59 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:45:00 PM 127.0.0.1 GET /V2/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:45:00 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 9:45:01 PM 127.0.0.1 GET /tests/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:45:01 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 9:45:03 PM 127.0.0.1 GET /test/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 9:45:03 PM 127.0.0.1 Returned 200 in 1 ms
